1,145
32,315
63,397
94,261
125,274
156,98
187,398
218,476
249,133
280,355
311,487
342,426
373,166
404,102
435,177
466,365
497,475
528,468
560,346
591,161
622,104
653,188
684,402
715,563
746,572
777,419
808,202
839,110
870,149
901,340
932,568
963,650
994,563
1025,328
1056,140
1087,109
1118,223
1149,457
1180,630
1211,634
1242,459
1273,221
1304,115
1335,136
1366,315
1397,587
1428,737
1459,677
1490,433
1521,200
1552,117
1583,150
1614,349
1645,626
1676,765
1707,697
1738,440
1769,199
1800,117
1831,146
1862,337
1893,632
1924,837
1955,722
1986,872
2017,765
2048,472
2079,216
2110,124
2141,132
2172,308
2203,597
2234,863
2265,883
2296,629
2327,336
2358,145
2389,117
2420,188
2451,426
2482,749
2513,980
2544,895
2575,581
2606,280
2637,134
2668,121
2699,234
2730,503
2761,837
2792,277
2823,135
2854,121
2885,208
2916,470
2947,800
2978,1043
3009,946
3040,632
3071,329
3103,145
3134,126
3165,204
3196,459
3227,775
3258,1068
3289,1057
3320,760
3351,420
3382,167
3413,105
3444,96
3475,94
3506,94
3537,95
3568,95
3599,95
3630,95
3661,95
3692,96
3723,99
3754,105
3785,114
3817,122
3848,189
3879,453
3910,814
3942,1156
3973,1337
4004,1342
4035,1353
4066,1202
4097,889
4128,520
4159,229
4190,141
4221,135
4252,263
4283,570
4314,936
4345,1242
4376,1209
4407,904
4438,545
4469,235
4499,139
4533,131
4565,264
4596,591
4627,952
4658,1273
4689,1286
4720,984
4751,646
4782,305
4813,151
4844,135
4875,187
4906,448
4937,814
4968,1169
4999,1375
5030,1209
5061,860
5092,475
5123,196
5154,135
5185,134
5216,275
5247,617
5278,1002
5309,1321
5340,1381
5371,1129
5402,736
5433,375
5464,166
5495,137
5526,154
5557,383
5588,740
5619,1134
5650,1404
5681,1369
5712,1074
5743,684
5774,319
5805,153
5836,136
5867,167
5898,411
5929,795
5960,1182
5991,1433
6022,1421
6053,1167
6084,779
6115,399
6146,168
6177,138
6208,144
6239,330
6270,699
6302,1110
6333,1397
6364,1454
6395,1275
6426,904
6457,497
6488,204
6519,138
6550,136
6581,231
6612,572
6643,967
6674,1328
6705,1467
6736,1408
6767,1113
6798,711
6829,331
6860,154
6891,136
6922,150
6953,366
6984,748
7015,1154
7046,1433
7077,1494
7108,1347
7139,993
7170,568
7201,240
7232,143
7263,135
7294,193
7325,502
7356,917
