"time"	"An"	"PAR"	"ci"	"vc"	"vf"	"vj"	"poolT"	"poolR"	"poolG"	"gs"	"signal"	"pi"	"water"	"seq"
"1.0"	"2.221096749497816"	"145.0"	"21.015112706503007"	"25.409657724402624"	"95.85152080991817"	"10.771684536865843"	"50.53994665861735"	"337.73743975142895"	"6.979527007901714"	"0.012454671375954837"	"0.24943367366362665"	"0.24909465768921718"	"0.24909342751909672"	"0.29816831316239545"
"32.0"	"2.8541662811496726"	"315.0"	"15.922286166827037"	"40.245193867055534"	"95.86112074428146"	"15.415101954361376"	"139.58841437695264"	"329.1230440824342"	"11.355112812542764"	"0.0124729501733775"	"0.29477923533478523"	"0.2540805980565581"	"0.24945900346754998"	"0.4831657734864835"
"63.0"	"3.126542484308322"	"397.0"	"13.940437312263859"	"50.79604249975468"	"95.87072587644634"	"16.6655909932027"	"125.48537647172732"	"321.36906287575516"	"14.665515689426021"	"0.01258447936056453"	"0.3485793243377655"	"0.2681429042633641"	"0.2516895872112906"	"0.5720097695952607"
"94.0"	"3.1976120597570317"	"261.0"	"13.877758289905884"	"52.06827085547556"	"95.87761129131977"	"14.332658631829915"	"67.97697718613257"	"318.3175501111987"	"15.18788355019241"	"0.012841600768141226"	"0.3633022853845235"	"0.2859879094098445"	"0.2568320153628245"	"0.42449025056352274"
"125.0"	"3.299699400650338"	"274.0"	"13.815341906451557"	"53.42646176382892"	"95.88410403483611"	"14.617166092411185"	"55.772560417554665"	"316.2537189966286"	"15.588368341669609"	"0.013222200798470153"	"0.377915427248944"	"0.30319531067569383"	"0.26444401596940303"	"0.4386252102111979"
"156.0"	"3.130266621179361"	"98.0"	"15.90354850520579"	"43.59178102417273"	"95.8790290640456"	"8.479557444352121"	"1.1912500207897159"	"199.9687698855792"	"12.615923755946284"	"0.01368321378820408"	"0.3604107637677007"	"0.316416741270739"	"0.2736642757640816"	"0.24691161556822944"
"187.0"	"3.4736578391548836"	"398.0"	"14.253292491410976"	"52.68567818961628"	"95.88696053340354"	"16.678613033424114"	"57.07227657945008"	"315.7555247342855"	"15.20365644180275"	"0.014174116021154207"	"0.401683989918443"	"0.32978624944550267"	"0.28348232042308413"	"0.5730906821185762"
"218.0"	"3.7116013616267205"	"476.0"	"13.552193692267547"	"59.02160415544767"	"95.89471044596014"	"17.569909867172242"	"86.16415772010876"	"313.1073936071171"	"17.172154527836316"	"0.014733817656135849"	"0.4512401801758551"	"0.3496884766220629"	"0.29467635312271695"	"0.6571196264220438"
"249.0"	"3.60881698520848"	"133.0"	"15.28991548986064"	"49.90143043617692"	"95.89390988635631"	"10.251632551822206"	"2.051538731179772"	"234.0810804806718"	"14.517104648966637"	"0.015384407699143642"	"0.42903858094634806"	"0.3678280306424516"	"0.3076881539828728"	"0.2850847937789797"
"280.0"	"3.8827799446905553"	"355.0"	"14.552299060405144"	"55.188681973470885"	"95.90002233314782"	"16.07385004827847"	"35.244246118271676"	"309.15438236745933"	"15.954251475654626"	"0.01605854994098987"	"0.4479566260637608"	"0.3822482162010782"	"0.3211709988197974"	"0.5265509779015899"
"311.0"	"4.13757356255861"	"487.0"	"14.020900773631753"	"60.554346717855424"	"95.90661066902891"	"17.678535043848925"	"71.25823360692455"	"309.85992571156413"	"17.578427787393018"	"0.016756376696289373"	"0.4908234984063708"	"0.400174368899009"	"0.3351275339257875"	"0.668912409082528"
"342.0"	"4.326653510756396"	"426.0"	"13.993811808561567"	"62.682483762007955"	"95.91217647429475"	"17.02546568200219"	"52.734715433316644"	"306.36290226245364"	"18.250393262904268"	"0.01751255265238751"	"0.5126493222043792"	"0.42085845572467795"	"0.35025105304775017"	"0.6033239381112833"
"373.0"	"4.244197417391328"	"166.0"	"15.52025884956301"	"54.57200624326687"	"95.912079890367"	"11.594842378896782"	"1.9463842659543347"	"210.62046999897333"	"15.782798373528781"	"0.018306924420387987"	"0.487049045347978"	"0.43666121889539977"	"0.36613848840775975"	"0.3210584440441603"
"404.0"	"3.7235747974480855"	"102.0"	"19.191089289880455"	"44.65570786446344"	"95.90391174846637"	"8.704147832299913"	"0.5462614517906038"	"29.35106620172235"	"11.36156574669186"	"0.0190532914377723"	"0.45554505961383907"	"0.44346472122847425"	"0.381065828755446"	"0.2512751775024292"
"435.0"	"3.932180123020169"	"177.0"	"18.74938574688222"	"43.433578292864134"	"95.90514884389195"	"11.987204155130536"	"0.8720546850114997"	"59.31832179285722"	"11.44481043025237"	"0.019682922376899316"	"0.4391766943365055"	"0.4441505544174811"	"0.3936584475379863"	"0.3330452329470152"
"466.0"	"4.474548209160751"	"365.0"	"16.52739936555276"	"51.84001768569997"	"95.91031212214247"	"16.22316733012503"	"3.3928744500509995"	"217.3417447389089"	"14.602080699273738"	"0.020189085648972215"	"0.45822963512181414"	"0.44521167010135043"	"0.40378171297944426"	"0.5373844062586902"
"497.0"	"4.779522436413991"	"475.0"	"15.50330018969059"	"58.53654827927499"	"95.91586290434729"	"17.55985050999243"	"36.11832257636924"	"303.59910279443403"	"16.783094980636832"	"0.02063191270369323"	"0.49660744199850715"	"0.45200400171686983"	"0.41263825407386456"	"0.6560466883746986"
"528.0"	"4.962842351343692"	"468.0"	"15.11833278172206"	"62.18670192392551"	"95.92084916206991"	"17.48854919621546"	"46.6666362124073"	"303.5326277125888"	"17.936077518114768"	"0.02108484885073285"	"0.526081862045275"	"0.4642132064589049"	"0.42169697701465697"	"0.6485323015592082"
"560.0"	"5.036651253999064"	"346.0"	"15.323739977613837"	"61.8761228734098"	"95.92443729887464"	"15.934520527968456"	"17.714241900780554"	"293.6310289403421"	"17.872946016993943"	"0.02159202092247159"	"0.524803978884877"	"0.4769317813931791"	"0.4318404184494318"	"0.5167961902087568"
"591.0"	"4.795017560116024"	"161.0"	"16.952070358470294"	"53.71444318782946"	"95.92220934283668"	"11.408080910637425"	"1.2205747264982478"	"146.05989494309196"	"15.230558734297004"	"0.022083173628239104"	"0.496851469572238"	"0.48360778833435053"	"0.44166347256478206"	"0.31560913946846597"
"622.0"	"3.226019938811164"	"104.0"	"24.440600554723346"	"44.247349533283014"	"95.91301503474871"	"8.81409820708676"	"0.5168757832048071"	"7.554100013595358"	"7.402817105909065"	"0.022503610919897776"	"0.46432920600564265"	"0.48279648565043914"	"0.45007221839795547"	"0.2534568738249783"
"653.0"	"4.3158989895658895"	"188.0"	"19.774560002760165"	"43.83646542604853"	"95.91385982008458"	"12.355951859436942"	"0.8853012009882393"	"53.88136206598805"	"11.34219636157219"	"0.022804079064273425"	"0.448388453618924"	"0.4773555008564116"	"0.45608158128546844"	"0.34502960758969814"
"684.0"	"4.934535282651664"	"402.0"	"17.19941781536403"	"52.90091954790345"	"95.91855212423388"	"16.73024539705356"	"3.394234605678749"	"212.55305322908453"	"14.806262667437611"	"0.022994933001743444"	"0.4734201759236258"	"0.4742167410530904"	"0.45989866003486884"	"0.5774135842124988"
"715.0"	"5.240230863196743"	"563.0"	"16.008959807803016"	"60.01584340649298"	"95.92378027747442"	"18.33964011613849"	"38.165113059743504"	"301.3654855267669"	"17.13536956368437"	"0.023158159423839305"	"0.5270287349255464"	"0.4798692869786679"	"0.46316318847678606"	"0.7497436043301959"
"746.0"	"5.409232731347146"	"572.0"	"15.502336945358675"	"64.06050945836425"	"95.9285557131406"	"18.40892292571629"	"49.79378104191446"	"301.0652988938478"	"18.41711659166904"	"0.023393813811824562"	"0.5720737104708986"	"0.4942835042632573"	"0.4678762762364912"	"0.7592114741545103"
"777.0"	"5.477951702588699"	"419.0"	"15.548298030701897"	"64.51896371385642"	"95.93200664606293"	"16.94184905644793"	"21.6549776324008"	"292.780185742637"	"18.591658884471098"	"0.02374353778672829"	"0.5766712961848379"	"0.5105009321567493"	"0.4748707557345658"	"0.5957718040313699"
"808.0"	"5.279136945359882"	"202.0"	"16.781315087463817"	"57.95937989866196"	"95.93136776237505"	"12.794297189191404"	"1.6020488046366517"	"167.05661873183038"	"16.47707899727284"	"0.02415970165616129"	"0.5477570322158208"	"0.5207712678164826"	"0.4831940331232258"	"0.360278744797452"
"839.0"	"3.448321009250577"	"110.0"	"24.714329548145074"	"47.49591056581416"	"95.92200848804173"	"9.134941921902804"	"0.5364403610894598"	"6.829340540193335"	"7.574797303044588"	"0.02454913717391505"	"0.5093072984161537"	"0.5221011769265057"	"0.490982743478301"	"0.26000161827925"
"870.0"	"4.135746715895959"	"149.0"	"22.059979190723176"	"43.45993474206757"	"95.91906328451356"	"10.936601087624808"	"0.682909803166241"	"19.545231373285645"	"9.626612646650063"	"0.024835187692084402"	"0.48167767864538785"	"0.5165531837748275"	"0.496703753841688"	"0.30252894422858584"
"901.0"	"5.108185273225962"	"340.0"	"18.211829020193687"	"51.157777056946706"	"95.9226421236144"	"15.838905831795456"	"1.9050780408782637"	"149.91091539484003"	"14.076182881982986"	"0.02499772925171031"	"0.48722878439070033"	"0.5101079700678801"	"0.49995458503420614"	"0.5102906576090033"
"932.0"	"5.502901319418166"	"568.0"	"16.690371966084147"	"59.08142738656158"	"95.92750758445857"	"18.378340178727857"	"16.070810878409652"	"284.6863838106003"	"16.745256075465196"	"0.025094796600040034"	"0.5391795429589199"	"0.5111185648428311"	"0.5018959320008006"	"0.7550071388765718"
"963.0"	"5.707496865608126"	"650.0"	"15.991537856842312"	"64.03930823132514"	"95.93222015628861"	"18.945369519052594"	"49.0111270199178"	"299.75415851793537"	"18.327577639492905"	"0.025240266952007512"	"0.5974387955396131"	"0.5231066117084131"	"0.5048053390401502"	"0.8394748075439349"
"994.0"	"5.823796358671127"	"563.0"	"15.770974294648815"	"66.23796152529447"	"95.93616467895428"	"18.33964011613849"	"35.642831096824764"	"295.58694031237246"	"19.030691903168623"	"0.02551517517240844"	"0.6269869282311109"	"0.5413310140652503"	"0.5103035034481688"	"0.7497436043301959"
"1025.0"	"5.801471664346893"	"328.0"	"16.206830700077266"	"64.110260333825"	"95.93798899743412"	"15.640777305412453"	"4.914778567095309"	"249.10979048012499"	"18.376634448153496"	"0.02591100431475592"	"0.6096547913659305"	"0.5567807109677871"	"0.5182200862951184"	"0.49727429500374715"
"1056.0"	"5.041309671812938"	"140.0"	"19.500856677441888"	"53.74341297747533"	"95.93186438466815"	"10.55973514022808"	"0.6800197416130636"	"30.175733129349748"	"13.716065868119975"	"0.026336798565680598"	"0.5673057415489573"	"0.5629236694642519"	"0.5267359713136119"	"0.29271713912115443"
"1087.0"	"3.522150361250417"	"109.0"	"25.557269729883583"	"44.65068267736882"	"95.92225515402893"	"9.08238444184479"	"0.534110508619819"	"7.495324426763753"	"7.229104292808899"	"0.02668679730381365"	"0.5260981729656469"	"0.5593903865752877"	"0.533735946076273"	"0.2589108637900855"
